material;k;T_fusion;T_hp;i_hp;j_hp;tipo_A;tipo_B;tipo_C;tipo_D;valor_A;valor_B;valor_C;valor_D
Solder 50-50;50.0;183.0;-21.048;23;39;temp;temp;flu;temp;-83.278;-14.094;4186.777;-177.685
Iridium;148.0;2446.0;517.105;47;28;flu;flu;flu;flu;8845.905;5649.325;-8602.78;-4439.471
Thorium;42.0;1750.0;1172.608;46;12;temp;temp;temp;temp;1041.893;388.051;1097.177;190.353
Copper - Aluminum Bronze (95% Cu, 5% Al);83.0;1027.0;-132.233;15;35;temp;flu;temp;temp;201.202;4439.132;-44.156;805.557
Cadmium;97.5;321.0;-99.73;22;13;temp;flu;temp;flu;-32.361;9988.614;-187.147;777.148
Aluminum alloy 360;150.0;575.0;522.728;38;1;flu;temp;temp;flu;-3414.426;559.603;15.679;-6400.577
Uranium;27.0;1132.0;243.929;29;23;flu;temp;temp;temp;2784.716;427.919;637.625;945.596
Aluminum alloy 2014, annealed;190.0;507.0;53.83;30;41;flu;flu;temp;temp;-5666.429;-8859.955;-39.044;455.339
Iron;83.5;1538.0;527.864;26;11;temp;flu;temp;flu;1184.887;7280.897;228.729;-1559.466
Copper - Phosphor bronze;50.0;900.0;442.272;45;30;flu;flu;flu;flu;1008.579;4620.453;4569.683;-9807.039
Lead;35.5;327.0;-64.055;11;25;temp;flu;temp;flu;-148.595;3868.828;21.173;9648.125
Molybdenum;139.0;2623.0;2014.787;33;9;temp;temp;flu;temp;492.372;2449.897;-3234.749;531.55
Copper - Bronze (75% Cu, 25% Sn);26.0;950.0;886.079;31;35;flu;flu;flu;flu;-5930.961;2552.69;1455.481;-8654.901
Incoloy;12.0;1390.0;1053.24;40;34;flu;temp;temp;temp;9206.024;522.729;383.459;496.79
Copper - Bronze (75% Cu, 25% Sn);26.0;950.0;472.348;33;31;temp;temp;temp;flu;362.795;281.227;30.224;-6408.148
Steel - Nickel, 10% Ni;26.0;1450.0;803.874;11;34;flu;temp;temp;flu;-9120.316;185.371;1198.363;-2537.849
Steel - Nickel Chrome, 40% Ni, 15% Cr;11.6;1400.0;26.339;39;46;flu;flu;flu;flu;8285.534;-656.876;-854.681;7303.897
Copper - Bronze (75% Cu, 25% Sn);26.0;950.0;576.737;19;14;flu;flu;temp;flu;6887.422;6698.649;229.414;2591.692
Steel - Nickel Chrome, 40% Ni, 15% Cr;11.6;1400.0;65.525;12;17;flu;temp;temp;flu;7523.437;-107.82;783.65;1183.075
Steel - Nickel Chrome, 80% Ni, 15% Cr;17.0;1400.0;535.429;40;18;flu;temp;temp;flu;-4395.603;1043.064;1264.03;1130.135
Steel - Nickel Chrome, 40% Ni, 15% Cr;11.6;1400.0;-145.244;5;12;temp;temp;flu;temp;841.347;823.124;-9567.772;222.705
Selenium;0.52;221.0;27.921;12;23;temp;flu;temp;flu;200.382;45.307;196.985;3381.523
Beryllium copper 25;80.0;870.0;298.542;6;49;temp;temp;temp;temp;560.963;811.662;93.182;74.204
Steel - Manganese, 1% Mn;50.0;1460.0;428.552;45;16;temp;temp;flu;temp;342.007;718.013;6039.312;207.607
Inconel;15.0;1390.0;1290.011;46;26;temp;flu;temp;temp;-66.359;7651.774;744.816;558.36
Copper - Cartridge Brass;120.0;920.0;689.39;26;13;temp;flu;flu;temp;599.999;-6727.954;3225.142;266.274
Steel - Hastelloy C;8.7;1390.0;1218.189;37;27;flu;flu;temp;temp;-9488.044;6875.473;167.159;35.485
Magnesium alloy AZ31B;100.0;620.0;-44.926;27;9;temp;temp;temp;temp;95.704;485.451;505.66;-142.287
Mercury;28.9;-39.0;-68.627;45;22;temp;temp;flu;flu;-182.116;-167.697;2767.349;-4057.035
Steel - Hastelloy B;10.0;1390.0;911.906;30;27;temp;flu;flu;temp;-172.156;1211.897;-5165.278;-12.693
Rubidium;58.3;39.3;-102.405;24;19;flu;temp;flu;flu;-5913.696;-130.231;8301.705;-8060.499
Steel - Nickel, 40% Ni;10.0;1450.0;62.108;30;36;temp;temp;temp;flu;1069.349;642.301;729.702;-1960.393
Cupronickel;29.0;1200.0;-163.298;11;47;flu;temp;flu;temp;1111.563;156.692;-4909.416;923.046
Hastelloy C;12.0;1390.0;1272.049;8;10;temp;flu;temp;temp;1191.62;-5053.608;1264.03;1035.077
Thorium;42.0;1750.0;1590.459;4;3;temp;temp;flu;flu;1553.178;971.301;5044.661;4369.665
Boron;31.7;2076.0;1412.279;3;47;flu;temp;flu;temp;-8768.06;584.612;-5902.067;54.221
Copper;401.0;1085.0;479.03;18;0;flu;temp;flu;temp;-4542.36;166.22;-9407.966;520.867
Steel - Nickel, 60% Ni;19.0;1450.0;1274.957;8;30;temp;temp;temp;flu;1302.133;1408.695;87.496;-4102.988
Copper - Aluminum Bronze (95% Cu, 5% Al);83.0;1027.0;483.367;32;28;flu;temp;flu;temp;8691.473;307.527;-4988.115;-121.353
Antimony;25.5;631.0;415.536;3;46;flu;flu;flu;flu;945.826;-5837.879;6312.396;-8425.709
Steel - Nickel, 60% Ni;19.0;1450.0;-140.713;33;24;temp;flu;temp;flu;-176.816;5840.659;937.854;1894.882
Aluminum bronze;70.0;1027.0;582.789;31;36;flu;flu;flu;flu;3202.206;3822.304;-3633.841;6095.559
Rhodium;151.0;1964.0;963.415;42;20;temp;flu;temp;flu;384.406;4940.041;952.239;-2516.741
Aluminum alloy 360;150.0;575.0;58.325;26;24;flu;temp;flu;temp;-9367.42;-163.34;4463.046;290.045
Cobalt;104.0;1495.0;66.927;3;4;flu;flu;temp;temp;7577.099;-852.453;-5.949;740.905
Lead;35.5;327.0;304.2;25;48;temp;temp;flu;temp;-141.904;104.956;1720.626;146.303
Osmium;61.0;3033.0;1550.051;21;17;temp;flu;temp;flu;1550.568;2620.437;1505.494;-7611.195
Plutonium;8.0;639.0;-141.217;36;10;temp;flu;temp;temp;187.839;5654.213;-153.101;481.537
Steel - Nickel, 40% Ni;10.0;1450.0;1234.867;48;25;temp;temp;temp;flu;-33.744;1144.96;869.503;-2113.025
Silver;428.0;961.0;581.703;35;13;flu;flu;flu;temp;-8951.358;-2462.87;-3626.737;934.093
Hastelloy C;12.0;1390.0;1228.575;32;35;temp;flu;flu;flu;831.208;9045.007;6322.654;-3454.804
Steel - Stainless, Type 347;14.3;1400.0;46.606;12;6;temp;temp;flu;temp;322.688;75.603;2778.191;-5.401
Copper - Bronze (75% Cu, 25% Sn);26.0;950.0;-124.291;40;9;flu;temp;flu;temp;-2741.546;766.608;-6738.837;850.031
Palladium;75.5;1554.0;171.692;0;45;temp;flu;flu;flu;318.651;-3873.809;3817.58;5112.429
Steel - Carbon, 1.5% C;36.0;1480.0;953.376;22;4;flu;flu;flu;temp;4598.352;7118.41;-5225.647;684.527
Steel - Tungsten, 1% W;66.0;1450.0;1218.859;42;15;flu;flu;temp;temp;-741.686;6635.237;9.534;458.579
Manganese;7.68;1246.0;1047.769;2;18;temp;flu;temp;temp;121.979;-397.248;506.381;759.662
Rhenium;48.6;3180.0;3090.567;37;14;temp;temp;flu;temp;2104.03;1929.343;4826.977;50.878
Magnesium alloy AZ31B;100.0;620.0;513.846;7;15;temp;flu;temp;flu;227.924;78.334;-182.455;9642.404
Cadmium;97.5;321.0;63.945;7;27;flu;temp;temp;temp;7384.067;-87.399;128.079;50.279
Cadmium;97.5;321.0;32.663;32;36;flu;flu;temp;flu;-5884.619;9157.721;0.915;-3029.565
Hafnium;23.3;2233.0;1066.205;36;39;flu;flu;flu;flu;6475.135;2793.335;2158.633;-6370.094
Iron;83.5;1538.0;533.944;0;33;flu;temp;flu;temp;9546.787;197.2;9425.301;-156.959
Copper - Constantan (60% Cu, 40% Ni);22.7;1200.0;970.947;30;37;temp;temp;flu;temp;448.232;1170.713;-772.274;-153.723
Beryllium copper 25;80.0;870.0;672.308;10;12;flu;temp;temp;flu;-3839.169;-84.087;809.974;-3701.386
Cesium;36.1;28.5;-174.541;43;30;flu;temp;temp;temp;7306.733;-155.38;-28.171;-21.568
Beryllium copper 25;80.0;870.0;-30.782;49;33;temp;temp;temp;flu;834.341;256.606;-28.404;1464.537
Iridium;148.0;2446.0;185.205;48;32;flu;temp;temp;flu;7292.891;-157.711;-21.208;-5686.922
Copper - German Silver (Maillechort);24.9;900.0;183.164;8;27;flu;flu;flu;flu;9973.041;2948.329;-6772.15;-1983.172
Steel - Chrome, 10% Cr;31.0;1480.0;295.556;24;31;flu;temp;flu;temp;-246.996;126.692;6587.598;835.303
Rubidium;58.3;39.3;-85.183;25;48;flu;flu;flu;temp;2503.037;6727.989;-7872.322;-48.285
Boron;31.7;2076.0;303.227;25;24;temp;flu;temp;flu;738.37;-361.556;277.907;5205.563
Copper - Admiralty Brass;111.0;900.0;221.242;23;21;flu;flu;temp;flu;4678.123;-6540.64;638.227;-7900.378
Copper - Bronze (75% Cu, 25% Sn);26.0;950.0;351.372;6;22;temp;temp;flu;flu;579.192;-161.111;4177.995;3436.707
Steel - Chrome Nickel, 15% Cr, 10% Ni;19.0;1400.0;546.33;10;33;temp;flu;temp;temp;992.829;4660.071;245.48;418.653
Steel - Manganese, 1% Mn;50.0;1460.0;110.453;12;33;temp;flu;temp;temp;42.591;2768.766;1003.028;519.337
Copper - Red Brass;61.0;920.0;675.381;40;14;flu;flu;flu;temp;131.971;-9928.241;-5260.858;787.156
Steel - Nickel, 10% Ni;26.0;1450.0;254.784;45;31;flu;flu;flu;temp;6598.783;4320.482;5943.052;1359.434
Steel - Hastelloy C;8.7;1390.0;1291.684;37;30;temp;temp;temp;temp;479.457;697.462;1282.272;345.839
Uranium;27.0;1132.0;817.8;43;49;temp;temp;temp;flu;953.629;-93.009;90.842;-771.363
Tin;68.2;232.0;-117.865;45;25;temp;flu;temp;flu;19.765;-2471.713;170.468;-7854.641
Boron;31.7;2076.0;1942.069;24;44;flu;flu;temp;flu;4741.668;-148.105;1382.353;-1974.932
Cesium;36.1;28.5;-184.838;27;13;flu;temp;flu;temp;-3282.865;-9.064;5551.473;-135.117
Steel - Manganese, 1% Mn;50.0;1460.0;1126.874;32;35;flu;flu;temp;temp;5481.933;337.142;557.677;189.91
Iron;83.5;1538.0;1295.609;42;46;flu;flu;flu;flu;1016.784;-8930.573;-1148.317;8210.987
Aluminum;236.0;660.0;474.38;24;14;temp;temp;temp;flu;-43.194;-182.883;551.278;-3543.815
Beryllium;218.0;1287.0;469.978;39;39;flu;flu;temp;temp;-349.218;334.951;1251.474;736.941
Sodium;135.0;97.8;-9.657;24;16;temp;flu;temp;temp;-186.495;-2540.369;-46.654;-90.438
Rubidium;58.3;39.3;-135.278;39;6;flu;flu;flu;temp;7587.218;-8089.693;-9240.296;-67.373
Copper - Aluminum Bronze (95% Cu, 5% Al);83.0;1027.0;410.121;35;22;temp;flu;temp;temp;658.509;4959.432;297.214;206.002
Selenium;0.52;221.0;75.712;31;26;flu;temp;flu;flu;-9838.551;-117.907;-6963.139;1974.64
Monel;26.0;1300.0;608.346;37;41;temp;temp;flu;flu;921.716;719.716;9032.398;4005.383
Copper - Aluminum Bronze (95% Cu, 5% Al);83.0;1027.0;898.513;16;24;temp;temp;flu;temp;798.744;-58.227;4488.218;304.204
Copper - Cartridge Brass;120.0;920.0;835.856;16;6;flu;temp;flu;flu;-3813.614;-80.523;-4332.415;346.304
Manganese;7.68;1246.0;206.911;19;38;flu;temp;flu;flu;5365.533;1020.041;-6747.081;-2339.755
Steel - Nickel, 60% Ni;19.0;1450.0;1170.282;40;31;temp;temp;flu;temp;704.014;796.634;-7591.958;584.137
Osmium;61.0;3033.0;2579.828;0;39;temp;flu;flu;flu;2492.926;3918.916;-3437.347;-1690.322
Steel - Chrome, 5% Cr;40.0;1480.0;928.753;31;22;flu;flu;temp;flu;-281.291;-3613.147;1030.315;-63.866
Steel - Nickel, 10% Ni;26.0;1450.0;1346.336;32;36;temp;temp;flu;temp;1067.374;-76.687;4725.56;1390.381
Aluminum alloy 360;150.0;575.0;378.784;37;44;flu;temp;temp;temp;8481.741;84.983;267.758;-64.845
Magnesium;157.0;650.0;331.111;38;49;flu;temp;temp;flu;-9859.056;404.038;293.823;7766.992
Copper - Brass (Yellow Brass);111.0;920.0;117.589;11;46;flu;flu;temp;temp;7439.537;5319.493;241.456;-150.774
Zirconium;23.2;1855.0;1433.993;0;41;temp;temp;flu;temp;1376.606;1631.038;-7573.425;1794.896
Steel - Hastelloy B;10.0;1390.0;-118.617;38;20;temp;temp;temp;flu;1257.887;326.999;781.871;-3945.584
Niobium;53.3;2477.0;32.303;44;8;temp;temp;temp;temp;2223.067;1654.604;1974.64;1881.977
Mercury;28.9;-39.0;-80.553;21;20;temp;temp;temp;temp;-86.296;-69.844;-63.808;-154.681
Steel - Nickel, 20% Ni;19.0;1450.0;47.251;35;9;temp;flu;temp;temp;-125.412;-7683.177;324.281;159.647
Incoloy;12.0;1390.0;354.367;16;19;flu;temp;flu;flu;-4710.466;507.43;-861.774;6484.743
Osmium;61.0;3033.0;-116.021;7;22;temp;temp;flu;flu;-110.941;169.963;-153.562;7274.473
Monel;26.0;1300.0;1256.913;19;31;flu;flu;temp;temp;-7030.215;9995.875;1008.438;560.079
Copper - Brass (Yellow Brass);111.0;920.0;37.452;22;4;flu;temp;temp;temp;-2986.928;742.348;716.924;814.372
Platinum;71.5;1768.0;733.683;23;7;flu;temp;temp;temp;-9962.203;1333.093;1473.352;-9.063
Nickel;94.0;1455.0;749.74;39;35;flu;flu;temp;flu;5633.053;-2773.16;597.327;3282.499
Monel;26.0;1300.0;468.647;47;25;temp;flu;temp;flu;657.391;-1169.488;539.557;-5337.286
Cupronickel;29.0;1200.0;590.468;31;46;temp;temp;temp;flu;121.679;27.41;708.039;-7563.666
Aluminum alloy 360;150.0;575.0;213.718;8;41;temp;flu;temp;flu;195.687;8010.923;182.275;-6386.592
Chromium;94.8;1907.0;1044.558;20;10;temp;temp;temp;temp;694.325;1348.652;1222.823;-79.511
Osmium;61.0;3033.0;-160.406;27;25;flu;flu;temp;flu;-6271.913;8297.879;49.462;6285.931
Steel - Chrome Nickel, 20% Cr, 15% Ni;15.1;1400.0;547.641;21;28;flu;temp;temp;flu;-6672.856;1351.347;658.94;4289.947
Steel - Manganese, 1% Mn;50.0;1460.0;230.746;32;2;temp;temp;flu;flu;869.439;487.815;-1708.659;3343.692
Copper - Bronze (75% Cu, 25% Sn);26.0;950.0;265.672;49;20;flu;temp;temp;temp;8740.299;79.83;859.836;289.125
Beryllium;218.0;1287.0;402.096;35;34;temp;flu;flu;temp;230.123;1318.08;5629.989;1190.8
Copper - Cartridge Brass;120.0;920.0;578.899;11;6;temp;flu;flu;temp;666.36;-6875.894;1896.118;398.118
Copper - German Silver (Maillechort);24.9;900.0;808.288;41;27;flu;flu;temp;flu;1991.847;-9658.278;-13.628;6481.334
Antimony;25.5;631.0;95.435;23;20;temp;flu;temp;temp;211.905;-7642.007;-8.075;594.66
Platinum;71.5;1768.0;424.672;28;48;flu;temp;flu;temp;8663.874;-154.529;8523.941;725.973
Steel - Nickel, 10% Ni;26.0;1450.0;731.155;29;35;flu;flu;temp;temp;9079.611;-8198.152;-192.359;767.37
Platinum;71.5;1768.0;1248.142;28;44;flu;temp;flu;temp;-1159.365;1743.491;-5115.116;138.365
Aluminum - Silumin;164.0;577.0;-188.136;15;47;flu;temp;flu;flu;-3459.942;202.007;1521.131;-6615.946
Platinum;71.5;1768.0;-87.713;22;45;temp;temp;temp;temp;-98.706;498.736;1449.973;12.056
Germanium;66.7;938.0;193.733;43;26;temp;temp;flu;flu;-190.701;778.566;-2213.728;-3449.284
Copper - Phosphor bronze;50.0;900.0;-35.248;5;6;temp;temp;flu;flu;598.815;803.083;-516.658;-4001.016
Thorium;42.0;1750.0;350.707;46;27;temp;temp;temp;flu;972.267;1563.027;1691.97;1286.957
Silicon;168.0;1414.0;1057.703;40;3;temp;temp;flu;temp;-126.979;877.631;-4545.898;399.788
Cadmium;97.5;321.0;58.872;17;4;flu;flu;flu;flu;-1248.851;-7680.435;-4749.49;-2540.964
Aluminum;236.0;660.0;-64.882;25;42;temp;temp;flu;flu;601.748;85.252;4081.568;3491.802
Beryllium copper 25;80.0;870.0;850.379;29;43;temp;temp;flu;flu;237.781;295.766;6473.053;-2755.651
Copper - Phosphor bronze;50.0;900.0;71.198;22;44;flu;flu;flu;flu;-2724.132;6494.672;8836.223;2304.425
Platinum;71.5;1768.0;-59.011;20;22;flu;flu;temp;temp;3889.303;3904.473;-111.981;399.433
Molybdenum;139.0;2623.0;1796.531;10;12;flu;temp;flu;temp;6021.726;1615.576;8846.662;1298.904
Steel - Manganese, 1% Mn;50.0;1460.0;-109.858;13;2;temp;temp;temp;flu;679.459;1176.311;94.352;1886.908
Hafnium;23.3;2233.0;1413.891;37;1;flu;temp;temp;flu;5301.782;1519.831;2161.723;9056.057
Rubidium;58.3;39.3;-26.449;14;48;flu;temp;temp;temp;-7383.722;-50.741;-70.606;-3.388
Steel - Carbon, 0.5% C;54.0;1460.0;1351.876;7;10;flu;temp;flu;flu;-4555.5;74.465;-4960.366;8971.819
Copper - Constantan (60% Cu, 40% Ni);22.7;1200.0;70.04;32;5;temp;flu;temp;temp;528.284;-7340.427;714.898;94.481
Lead;35.5;327.0;8.162;49;42;temp;flu;temp;temp;70.146;-7930.975;-18.217;248.865
Copper - Constantan (60% Cu, 40% Ni);22.7;1200.0;811.78;18;23;temp;temp;flu;flu;44.635;415.325;8398.085;6910.617
Copper - Red Brass;61.0;920.0;74.872;22;37;flu;temp;temp;flu;4922.217;689.436;306.061;-7700.005
Steel - Stainless, Type 347;14.3;1400.0;864.221;7;4;flu;flu;temp;temp;7506.435;5388.601;836.925;461.409
Steel - Chrome, 10% Cr;31.0;1480.0;714.714;43;16;temp;temp;flu;temp;327.227;1331.757;101.125;703.811
Aluminum bronze;70.0;1027.0;-112.063;24;3;temp;temp;temp;temp;110.373;54.556;43.434;357.684
Steel - Stainless, Type 347;14.3;1400.0;710.744;0;6;flu;temp;flu;flu;6769.041;133.358;-1066.651;-35.023
Cupronickel;29.0;1200.0;1010.256;25;24;flu;flu;flu;flu;-4976.133;1715.566;4505.559;1255.795
Copper - Brass (Yellow Brass);111.0;920.0;532.754;13;2;flu;flu;flu;temp;-7363.67;3606.013;4107.262;636.129
Rhenium;48.6;3180.0;2423.413;34;46;flu;flu;temp;flu;4715.229;-3921.075;1606.104;7662.734
Manganese;7.68;1246.0;-35.077;24;47;temp;flu;temp;temp;-66.445;-9595.367;827.577;922.552
Steel - Nickel Chrome, 40% Ni, 15% Cr;11.6;1400.0;502.643;12;37;temp;temp;temp;flu;734.139;126.517;95.545;-524.235
Boron;31.7;2076.0;34.43;46;43;flu;temp;flu;temp;-537.932;1683.839;-3405.367;-4.609
Copper - German Silver (Maillechort);24.9;900.0;17.617;38;6;flu;flu;temp;flu;-2044.006;3557.645;-164.944;9894.801
Tungsten;182.0;3422.0;2303.374;29;18;temp;temp;flu;temp;2360.187;852.595;3025.405;825.107
Titanium;22.4;1668.0;-145.143;29;42;flu;flu;temp;flu;-7190.331;-6308.18;-12.337;7114.867
Cobalt;104.0;1495.0;1329.726;13;26;temp;temp;temp;temp;-58.519;817.058;506.682;493.974
Steel - Nickel, 20% Ni;19.0;1450.0;-102.566;3;47;flu;temp;flu;flu;-9783.044;761.497;4017.439;2793.151
Copper - Aluminum Bronze (95% Cu, 5% Al);83.0;1027.0;8.589;5;22;flu;temp;temp;flu;571.829;871.953;819.234;8249.199
Rubidium;58.3;39.3;-44.187;27;42;flu;temp;temp;flu;-9546.323;-9.212;-131.755;4089.208
Hafnium;23.3;2233.0;76.028;3;40;temp;temp;temp;temp;1188.398;1378.253;907.649;205.76
Copper - Phosphor bronze;50.0;900.0;275.669;21;42;temp;flu;temp;temp;576.442;-2637.275;678.02;859.778
Hastelloy C;12.0;1390.0;903.652;31;17;flu;temp;temp;flu;3875.83;773.263;1308.035;5193.028
Silver;428.0;961.0;644.574;19;24;flu;flu;temp;flu;2321.127;7717.279;318.731;-9217.305
Rubidium;58.3;39.3;-187.517;9;14;temp;temp;flu;flu;-23.914;-77.702;4568.674;-3255.027
Nickel;94.0;1455.0;949.404;21;5;temp;flu;temp;flu;343.528;3074.346;936.375;202.529
Antimony;25.5;631.0;-158.217;23;40;temp;temp;temp;flu;519.839;254.641;534.804;6466.337
Copper - Aluminum Bronze (95% Cu, 5% Al);83.0;1027.0;50.374;26;42;temp;flu;temp;temp;616.432;6086.093;230.06;182.266
Steel - Carbon, 0.5% C;54.0;1460.0;-81.089;48;48;temp;flu;flu;flu;24.442;1163.684;-6868.488;5030.386
Steel - Chrome, 1% Cr;61.0;1480.0;786.537;32;16;flu;temp;flu;temp;8569.187;341.572;-2648.932;553.368
Copper - German Silver (Maillechort);24.9;900.0;229.993;23;0;flu;flu;temp;flu;-6237.408;-7259.3;117.273;4945.049
Niobium;53.3;2477.0;5.432;33;38;flu;flu;flu;temp;7300.193;-5722.084;-1624.397;1736.057
Solder 50-50;50.0;183.0;126.589;5;40;temp;flu;flu;temp;169.451;-1.937;-1795.887;122.864
Cesium;36.1;28.5;-175.261;49;3;flu;flu;flu;flu;-6762.403;6936.447;-2546.609;-3798.585
Steel - Carbon, 1% C;43.0;1470.0;630.062;37;24;temp;temp;temp;temp;1022.44;1156.492;980.715;1360.649
Iridium;148.0;2446.0;-33.198;30;45;flu;temp;flu;flu;-5099.313;1185.225;-9747.196;744.196
Copper - Phosphor bronze;50.0;900.0;450.024;45;2;flu;flu;temp;temp;-1627.032;6999.053;882.79;862.531
Steel - Nickel, 10% Ni;26.0;1450.0;177.595;18;22;flu;temp;flu;temp;-1142.573;740.709;-6666.881;1363.546
Hafnium;23.3;2233.0;1386.766;45;44;temp;flu;temp;flu;684.912;1858.185;-128.739;1749.687
Sodium;135.0;97.8;-80.749;9;49;temp;temp;temp;flu;-121.126;-82.387;29.612;1097.44
Copper - German Silver (Maillechort);24.9;900.0;628.81;39;17;flu;flu;flu;flu;3547.409;-6436.725;-5020.843;8950.336
Osmium;61.0;3033.0;752.906;20;7;temp;flu;flu;temp;143.818;2182.886;-480.802;691.664
Niobium;53.3;2477.0;1065.34;10;16;flu;temp;flu;flu;-3465.379;595.166;5545.911;1568.974
Magnesium alloy AZ31B;100.0;620.0;560.178;17;31;flu;temp;flu;flu;6685.51;606.629;2089.123;-7811.009
Lithium;79.2;180.0;-112.278;42;41;flu;flu;flu;temp;-9279.753;-4053.511;3013.009;-67.683
Silicon;168.0;1414.0;1394.408;14;23;temp;flu;flu;flu;-153.741;5815.173;997.124;-2228.306
Steel - Nickel, 10% Ni;26.0;1450.0;608.914;4;24;temp;temp;temp;temp;1414.269;1005.412;287.233;1008.319
Steel - Nickel, 10% Ni;26.0;1450.0;591.416;33;8;temp;flu;temp;flu;1418.288;-7765.914;895.248;3705.21
Steel - Nickel Chrome, 40% Ni, 15% Cr;11.6;1400.0;-72.451;29;47;flu;flu;flu;temp;2985.201;5212.308;-4586.082;1197.239
Steel - Stainless, Type 304;14.4;1400.0;447.951;27;47;flu;flu;flu;flu;-4598.991;5976.517;678.169;5944.602
Cupronickel;29.0;1200.0;211.139;0;48;temp;temp;flu;flu;-10.031;801.525;-4120.208;-7541.555
Platinum;71.5;1768.0;1577.033;11;5;temp;temp;flu;temp;110.604;158.788;8763.418;711.14
Copper - German Silver (Maillechort);24.9;900.0;602.485;6;43;flu;flu;temp;flu;-2288.717;-5428.143;445.534;667.628
Steel - Nickel Chrome, 80% Ni, 15% Cr;17.0;1400.0;1326.163;38;12;flu;flu;temp;flu;-7708.959;-2815.999;887.315;-2050.664
Steel - Carbon, 1% C;43.0;1470.0;-113.002;23;9;temp;flu;temp;temp;512.364;-3534.136;64.444;875.848
Steel - Nickel, 60% Ni;19.0;1450.0;726.71;38;16;flu;flu;temp;temp;-6567.832;3983.545;1230.634;321.368
Steel - Chrome Nickel, 15% Cr, 10% Ni;19.0;1400.0;907.189;38;13;flu;temp;temp;temp;-938.542;631.084;98.784;935.917
Cupronickel;29.0;1200.0;820.017;19;25;temp;temp;flu;flu;573.023;738.603;8592.303;-7609.097
Inconel;15.0;1390.0;347.923;48;6;flu;temp;flu;temp;8390.766;-77.303;2927.684;1244.354
Aluminum alloy 3003, rolled;190.0;643.0;620.678;9;3;temp;temp;temp;temp;-9.717;212.486;-138.718;242.92
Aluminum alloy 2014, annealed;190.0;507.0;-20.733;4;14;flu;temp;temp;flu;-4483.676;160.539;340.738;4538.042
Copper - Admiralty Brass;111.0;900.0;179.768;2;8;flu;temp;flu;temp;-4300.182;691.113;3110.585;50.501
Steel - Nickel Chrome, 80% Ni, 15% Cr;17.0;1400.0;25.775;17;8;temp;flu;temp;flu;442.07;-2450.514;765.432;2742.843
Uranium;27.0;1132.0;433.004;25;5;flu;temp;flu;flu;5077.126;-181.378;8612.263;129.932
Hafnium;23.3;2233.0;2216.396;4;46;flu;temp;temp;flu;3446.405;511.874;268.028;7058.044
Beryllium copper 25;80.0;870.0;719.429;25;31;temp;flu;temp;flu;315.59;1865.735;766.262;5494.494
Aluminum;236.0;660.0;-23.073;24;44;flu;temp;temp;flu;1782.895;-179.773;362.331;-488.693
Steel - Nickel, 60% Ni;19.0;1450.0;588.336;4;31;flu;flu;flu;flu;9567.684;8788.885;-7177.665;1985.788
Steel - Chrome Nickel, 20% Cr, 15% Ni;15.1;1400.0;240.782;21;18;flu;temp;flu;flu;-8945.419;75.701;-923.97;-6629.914
Steel - Nickel Chrome, 80% Ni, 15% Cr;17.0;1400.0;1007.377;4;21;temp;flu;temp;flu;635.6;7903.001;1011.485;-2620.008
Aluminum alloy 360;150.0;575.0;181.556;49;6;temp;flu;temp;flu;-189.3;4415.351;-88.267;4861.749
Niobium;53.3;2477.0;1682.865;42;33;temp;temp;temp;temp;1632.104;1615.347;988.289;687.255
Copper - German Silver (Maillechort);24.9;900.0;572.715;8;46;temp;flu;temp;temp;651.266;-6113.399;646.164;76.416
Beryllium;218.0;1287.0;1218.012;44;44;temp;flu;flu;flu;695.281;-810.465;-7106.787;-1571.391
Incoloy;12.0;1390.0;1273.109;45;43;flu;temp;temp;temp;-9054.879;-35.305;1099.388;441.298
Vanadium;31.3;1910.0;1618.248;32;0;temp;temp;temp;flu;454.064;1869.047;289.193;-7185.602
Aluminum alloy 360;150.0;575.0;423.105;43;34;flu;flu;temp;temp;-8008.809;8249.647;203.908;491.228
Manganese;7.68;1246.0;1019.439;40;45;flu;temp;temp;temp;-8681.892;357.427;145.725;204.221
Potassium;104.0;63.5;-172.32;7;47;flu;temp;flu;temp;-2508.22;38.188;-4946.606;-83.107
Titanium;22.4;1668.0;1421.287;38;8;temp;flu;flu;temp;172.652;-291.558;9596.309;1102.34
Aluminum;236.0;660.0;156.634;23;1;flu;flu;temp;temp;3667.441;-4922.844;462.102;-78.277
Antimony;25.5;631.0;522.499;6;43;temp;flu;flu;temp;183.361;-8757.543;7573.709;-39.354
Iridium;148.0;2446.0;2331.199;17;12;temp;flu;flu;temp;644.337;-6306.019;3482.818;2144.815
Aluminum alloy 3003, rolled;190.0;643.0;46.678;14;42;temp;temp;temp;temp;-191.544;-189.428;439.851;356.534
Titanium;22.4;1668.0;507.99;37;2;temp;temp;flu;flu;1572.549;762.929;1844.684;-6442.985
Copper - Bronze (75% Cu, 25% Sn);26.0;950.0;22.181;26;24;flu;flu;flu;flu;7148.394;-1986.828;1042.846;-3591.222
Molybdenum;139.0;2623.0;526.975;26;35;temp;flu;flu;flu;1298.291;2904.244;5787.521;-153.683
Niobium;53.3;2477.0;981.41;30;19;temp;flu;flu;flu;641.004;8261.054;194.964;-5212.116
Steel - Carbon, 1.5% C;36.0;1480.0;1356.262;37;41;flu;flu;flu;temp;-7231.367;6159.625;-5335.305;1219.306
